## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[./001_strobealign/Takatsuki-3.sorted.bam] OUTPUT=/opt/temp/Takatsuki-3.sorted.dedup.bam METRICS_FILE=./001_metrics/Takatsuki-3.sorted_duplicate_metrics.tsv REMOVE_DUPLICATES=true ASSUME_SORTED=true VALIDATION_STRINGENCY=LENIENT CREATE_INDEX=true USE_JDK_DEFLATER=true USE_JDK_INFLATER=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 03 11:35:59 JST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	481	7979	0	89283	163	1400	1	0.180242	20002

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000097	5414	0	5414
2.0	1.671213	977	1	978
3.0	2.121566	153	0	152
4.0	2.423776	28	0	28
5.0	2.626574	6	0	6
6.0	2.762662	0	0	0
7.0	2.853984	0	0	0
8.0	2.915266	0	0	0
9.0	2.956389	0	0	0
10.0	2.983985	1	0	1
11.0	3.002503	0	0	0
12.0	3.01493	0	0	0
13.0	3.023268	0	0	0
14.0	3.028864	0	0	0
15.0	3.032619	0	0	0
16.0	3.035139	0	0	0
17.0	3.03683	0	0	0
18.0	3.037965	0	0	0
19.0	3.038726	0	0	0
20.0	3.039237	0	0	0
21.0	3.03958	0	0	0
22.0	3.03981	0	0	0
23.0	3.039965	0	0	0
24.0	3.040068	0	0	0
25.0	3.040138	0	0	0
26.0	3.040184	0	0	0
27.0	3.040216	0	0	0
28.0	3.040237	0	0	0
29.0	3.040251	0	0	0
30.0	3.04026	0	0	0
31.0	3.040267	0	0	0
32.0	3.040271	0	0	0
33.0	3.040274	0	0	0
34.0	3.040276	0	0	0
35.0	3.040277	0	0	0
36.0	3.040278	0	0	0
37.0	3.040278	0	0	0
38.0	3.040279	0	0	0
39.0	3.040279	0	0	0
40.0	3.040279	0	0	0
41.0	3.040279	0	0	0
42.0	3.04028	0	0	0
43.0	3.04028	0	0	0
44.0	3.04028	0	0	0
45.0	3.04028	0	0	0
46.0	3.04028	0	0	0
47.0	3.04028	0	0	0
48.0	3.04028	0	0	0
49.0	3.04028	0	0	0
50.0	3.04028	0	0	0
51.0	3.04028	0	0	0
52.0	3.04028	0	0	0
53.0	3.04028	0	0	0
54.0	3.04028	0	0	0
55.0	3.04028	0	0	0
56.0	3.04028	0	0	0
57.0	3.04028	0	0	0
58.0	3.04028	0	0	0
59.0	3.04028	0	0	0
60.0	3.04028	0	0	0
61.0	3.04028	0	0	0
62.0	3.04028	0	0	0
63.0	3.04028	0	0	0
64.0	3.04028	0	0	0
65.0	3.04028	0	0	0
66.0	3.04028	0	0	0
67.0	3.04028	0	0	0
68.0	3.04028	0	0	0
69.0	3.04028	0	0	0
70.0	3.04028	0	0	0
71.0	3.04028	0	0	0
72.0	3.04028	0	0	0
73.0	3.04028	0	0	0
74.0	3.04028	0	0	0
75.0	3.04028	0	0	0
76.0	3.04028	0	0	0
77.0	3.04028	0	0	0
78.0	3.04028	0	0	0
79.0	3.04028	0	0	0
80.0	3.04028	0	0	0
81.0	3.04028	0	0	0
82.0	3.04028	0	0	0
83.0	3.04028	0	0	0
84.0	3.04028	0	0	0
85.0	3.04028	0	0	0
86.0	3.04028	0	0	0
87.0	3.04028	0	0	0
88.0	3.04028	0	0	0
89.0	3.04028	0	0	0
90.0	3.04028	0	0	0
91.0	3.04028	0	0	0
92.0	3.04028	0	0	0
93.0	3.04028	0	0	0
94.0	3.04028	0	0	0
95.0	3.04028	0	0	0
96.0	3.04028	0	0	0
97.0	3.04028	0	0	0
98.0	3.04028	0	0	0
99.0	3.04028	0	0	0
100.0	3.04028	0	0	0

