Sample	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Chubo-1.sorted_duplicate_metrics	148	1717	27976	39	289	17.22500	4510
Chubo-2.sorted_duplicate_metrics	98	1616	21626	29	293	18.46850	3899
Chubo-3.sorted_duplicate_metrics	63	916	15085	10	139	15.19790	2704
Chubo-4.sorted_duplicate_metrics	27	391	4581	6	63	16.31640	1079
SRS-1.sorted_duplicate_metrics	138	2486	34978	20	518	20.66540	5104
SRS-2.sorted_duplicate_metrics	246	4111	46548	65	793	19.49690	9236
SRS-3.sorted_duplicate_metrics	140	2803	41040	30	574	20.50120	5873
SRS-4.sorted_duplicate_metrics	194	3356	50350	51	653	19.64960	7473
Takatsuki-1.sorted_duplicate_metrics	100	1565	19780	14	294	18.63780	3625
Takatsuki-2.sorted_duplicate_metrics	450	7877	75956	176	1415	18.55100	19211
Takatsuki-3.sorted_duplicate_metrics	481	7979	89283	163	1400	18.02420	20002
Takatsuki-4.sorted_duplicate_metrics	333	4133	60085	91	767	18.89750	9710
TypeD-1.sorted_duplicate_metrics	282	4481	66054	66	821	18.47680	10684
TypeD-2.sorted_duplicate_metrics	215	3841	52821	52	708	18.58930	9094
TypeD-3.sorted_duplicate_metrics	150	3354	43740	38	722	21.60980	6626
TypeD-4.sorted_duplicate_metrics	167	3345	38045	41	793	23.72760	5889
