## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[./0120_strobealign/Chubo-3.sorted.bam] OUTPUT=/opt/temp/Chubo-3.sorted.dedup.bam METRICS_FILE=./0130_picard_metrics/Chubo-3.sorted_duplicate_metrics.tsv REMOVE_DUPLICATES=true ASSUME_SORTED=true VALIDATION_STRINGENCY=LENIENT CREATE_INDEX=true USE_JDK_DEFLATER=true USE_JDK_INFLATER=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon May 19 11:33:26 JST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	38	2015	0	12912	11	338	0	0.168879	5313

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.99997	1384	1384
2.0	1.684317	254	254
3.0	2.152664	34	34
4.0	2.473185	4	4
5.0	2.69254	1	1
6.0	2.84266	0	0
7.0	2.945397	0	0
8.0	3.015707	0	0
9.0	3.063825	0	0
10.0	3.096756	0	0
11.0	3.119292	0	0
12.0	3.134716	0	0
13.0	3.145271	0	0
14.0	3.152495	0	0
15.0	3.157438	0	0
16.0	3.160822	0	0
17.0	3.163137	0	0
18.0	3.164722	0	0
19.0	3.165806	0	0
20.0	3.166548	0	0
21.0	3.167056	0	0
22.0	3.167404	0	0
23.0	3.167642	0	0
24.0	3.167804	0	0
25.0	3.167916	0	0
26.0	3.167992	0	0
27.0	3.168044	0	0
28.0	3.16808	0	0
29.0	3.168104	0	0
30.0	3.168121	0	0
31.0	3.168133	0	0
32.0	3.16814	0	0
33.0	3.168146	0	0
34.0	3.168149	0	0
35.0	3.168152	0	0
36.0	3.168154	0	0
37.0	3.168155	0	0
38.0	3.168156	0	0
39.0	3.168156	0	0
40.0	3.168157	0	0
41.0	3.168157	0	0
42.0	3.168157	0	0
43.0	3.168157	0	0
44.0	3.168157	0	0
45.0	3.168157	0	0
46.0	3.168157	0	0
47.0	3.168157	0	0
48.0	3.168157	0	0
49.0	3.168157	0	0
50.0	3.168157	0	0
51.0	3.168157	0	0
52.0	3.168157	0	0
53.0	3.168157	0	0
54.0	3.168157	0	0
55.0	3.168157	0	0
56.0	3.168157	0	0
57.0	3.168157	0	0
58.0	3.168157	0	0
59.0	3.168157	0	0
60.0	3.168157	0	0
61.0	3.168157	0	0
62.0	3.168157	0	0
63.0	3.168157	0	0
64.0	3.168157	0	0
65.0	3.168157	0	0
66.0	3.168157	0	0
67.0	3.168157	0	0
68.0	3.168157	0	0
69.0	3.168157	0	0
70.0	3.168157	0	0
71.0	3.168157	0	0
72.0	3.168157	0	0
73.0	3.168157	0	0
74.0	3.168157	0	0
75.0	3.168157	0	0
76.0	3.168157	0	0
77.0	3.168157	0	0
78.0	3.168157	0	0
79.0	3.168157	0	0
80.0	3.168157	0	0
81.0	3.168157	0	0
82.0	3.168157	0	0
83.0	3.168157	0	0
84.0	3.168157	0	0
85.0	3.168157	0	0
86.0	3.168157	0	0
87.0	3.168157	0	0
88.0	3.168157	0	0
89.0	3.168157	0	0
90.0	3.168157	0	0
91.0	3.168157	0	0
92.0	3.168157	0	0
93.0	3.168157	0	0
94.0	3.168157	0	0
95.0	3.168157	0	0
96.0	3.168157	0	0
97.0	3.168157	0	0
98.0	3.168157	0	0
99.0	3.168157	0	0
100.0	3.168157	0	0

