## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[./0120_strobealign/SRS-1.sorted.bam] OUTPUT=/opt/temp/SRS-1.sorted.dedup.bam METRICS_FILE=./0130_picard_metrics/SRS-1.sorted_duplicate_metrics.tsv REMOVE_DUPLICATES=true ASSUME_SORTED=true VALIDATION_STRINGENCY=LENIENT CREATE_INDEX=true USE_JDK_DEFLATER=true USE_JDK_INFLATER=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon May 19 11:33:29 JST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	105	4685	0	30613	44	882	0	0.190818	10826

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999989	3114	3114
2.0	1.648702	565	565
3.0	2.069535	104	104
4.0	2.342538	16	16
5.0	2.51964	3	3
6.0	2.63453	0	0
7.0	2.709061	0	0
8.0	2.757411	0	0
9.0	2.788776	0	0
10.0	2.809124	0	0
11.0	2.822324	0	0
12.0	2.830887	0	0
13.0	2.836441	0	0
14.0	2.840045	0	0
15.0	2.842383	0	0
16.0	2.843899	0	0
17.0	2.844883	0	0
18.0	2.845521	0	0
19.0	2.845935	0	0
20.0	2.846204	0	0
21.0	2.846378	0	0
22.0	2.846491	0	0
23.0	2.846565	0	0
24.0	2.846612	0	0
25.0	2.846643	0	0
26.0	2.846663	0	0
27.0	2.846676	0	0
28.0	2.846684	0	0
29.0	2.84669	0	0
30.0	2.846693	0	0
31.0	2.846696	0	0
32.0	2.846697	0	0
33.0	2.846698	0	0
34.0	2.846699	0	0
35.0	2.846699	0	0
36.0	2.846699	0	0
37.0	2.8467	0	0
38.0	2.8467	0	0
39.0	2.8467	0	0
40.0	2.8467	0	0
41.0	2.8467	0	0
42.0	2.8467	0	0
43.0	2.8467	0	0
44.0	2.8467	0	0
45.0	2.8467	0	0
46.0	2.8467	0	0
47.0	2.8467	0	0
48.0	2.8467	0	0
49.0	2.8467	0	0
50.0	2.8467	1	1
51.0	2.8467	0	0
52.0	2.8467	0	0
53.0	2.8467	0	0
54.0	2.8467	0	0
55.0	2.8467	0	0
56.0	2.8467	0	0
57.0	2.8467	0	0
58.0	2.8467	0	0
59.0	2.8467	0	0
60.0	2.8467	0	0
61.0	2.8467	0	0
62.0	2.8467	0	0
63.0	2.8467	0	0
64.0	2.8467	0	0
65.0	2.8467	0	0
66.0	2.8467	0	0
67.0	2.8467	0	0
68.0	2.8467	0	0
69.0	2.8467	0	0
70.0	2.8467	0	0
71.0	2.8467	0	0
72.0	2.8467	0	0
73.0	2.8467	0	0
74.0	2.8467	0	0
75.0	2.8467	0	0
76.0	2.8467	0	0
77.0	2.8467	0	0
78.0	2.8467	0	0
79.0	2.8467	0	0
80.0	2.8467	0	0
81.0	2.8467	0	0
82.0	2.8467	0	0
83.0	2.8467	0	0
84.0	2.8467	0	0
85.0	2.8467	0	0
86.0	2.8467	0	0
87.0	2.8467	0	0
88.0	2.8467	0	0
89.0	2.8467	0	0
90.0	2.8467	0	0
91.0	2.8467	0	0
92.0	2.8467	0	0
93.0	2.8467	0	0
94.0	2.8467	0	0
95.0	2.8467	0	0
96.0	2.8467	0	0
97.0	2.8467	0	0
98.0	2.8467	0	0
99.0	2.8467	0	0
100.0	2.8467	0	0

