Reference,TypeD-4_H1,TypeD-4_H2,TypeD-3_H1,TypeD-3_H2,TypeD-2_H1,TypeD-2_H2,Chubo-1_H1,Chubo-1_H2,Takatsuki-4_H1,Takatsuki-4_H2,Chubo-3_H1,Chubo-3_H2,SRS-2_H1,SRS-2_H2,Chubo-4_H1,Chubo-4_H2,SRS-1_H1,SRS-1_H2,Takatsuki-1_H1,Takatsuki-1_H2,TypeD-1_H1,TypeD-1_H2,SRS-3_H1,SRS-3_H2,SRS-4_H1,SRS-4_H2,Takatsuki-2_H1,Takatsuki-2_H2,Chubo-2_H1,Chubo-2_H2,Takatsuki-3_H1,Takatsuki-3_H2
0.0,16.0,16.0,16.0,16.0,16.0,16.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,21.0,22.0,20.0,20.0,16.0,23.0,16.0,16.0,14.0,23.0,14.0,23.0,21.0,21.0,24.0,23.0,21.0,21.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,24.0,21.0,22.0,24.0,24.0,21.0,28.0,0.0,0.0,23.0,26.0,23.0,26.0,26.0,21.0,23.0,25.0,26.0,26.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,24.0,21.0,22.0,24.0,24.0,21.0,28.0,0.0,0.0,23.0,26.0,23.0,26.0,26.0,21.0,23.0,25.0,26.0,26.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,24.0,21.0,22.0,24.0,24.0,21.0,28.0,0.0,0.0,23.0,26.0,23.0,26.0,26.0,21.0,23.0,25.0,26.0,26.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,24.0,21.0,22.0,24.0,24.0,21.0,28.0,0.0,0.0,23.0,26.0,23.0,26.0,26.0,21.0,23.0,25.0,26.0,26.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,24.0,21.0,22.0,24.0,24.0,21.0,28.0,0.0,0.0,23.0,26.0,23.0,26.0,26.0,21.0,23.0,25.0,26.0,26.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,24.0,21.0,22.0,24.0,24.0,21.0,28.0,0.0,0.0,23.0,26.0,23.0,26.0,26.0,21.0,23.0,25.0,26.0,26.0
21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,1.0,20.0,20.0,15.0,24.0,21.0,21.0,24.0,14.0,24.0,14.0,22.0,0.0,12.0,7.0,22.0,22.0
21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,1.0,20.0,20.0,15.0,24.0,21.0,21.0,24.0,14.0,24.0,14.0,22.0,0.0,12.0,7.0,22.0,22.0
21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,1.0,20.0,20.0,15.0,24.0,21.0,21.0,24.0,14.0,24.0,14.0,22.0,0.0,12.0,7.0,22.0,22.0
21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,1.0,20.0,20.0,15.0,24.0,21.0,21.0,24.0,14.0,24.0,14.0,22.0,0.0,12.0,7.0,22.0,22.0
21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,1.0,20.0,20.0,15.0,24.0,21.0,21.0,24.0,14.0,24.0,14.0,22.0,0.0,12.0,7.0,22.0,22.0
21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,1.0,20.0,20.0,15.0,24.0,21.0,21.0,24.0,14.0,24.0,14.0,22.0,0.0,12.0,7.0,22.0,22.0
20.0,24.0,24.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,21.0,0.0,0.0,20.0,26.0,24.0,24.0,14.0,10.0,14.0,10.0,24.0,20.0,26.0,20.0,24.0,24.0
20.0,24.0,24.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,21.0,0.0,0.0,20.0,26.0,24.0,24.0,14.0,10.0,14.0,10.0,24.0,20.0,26.0,20.0,24.0,24.0
21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,1.0,20.0,20.0,15.0,24.0,21.0,21.0,24.0,14.0,24.0,14.0,22.0,0.0,12.0,7.0,22.0,22.0
22.0,22.0,22.0,22.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,21.0,1.0,0.0,21.0,21.0,16.0,25.0,22.0,22.0,25.0,15.0,25.0,15.0,23.0,1.0,13.0,8.0,23.0,23.0
20.0,24.0,24.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,21.0,0.0,0.0,20.0,26.0,24.0,24.0,14.0,10.0,14.0,10.0,24.0,20.0,26.0,20.0,24.0,24.0
20.0,24.0,24.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,20.0,21.0,0.0,0.0,20.0,26.0,24.0,24.0,14.0,10.0,14.0,10.0,24.0,20.0,26.0,20.0,24.0,24.0
16.0,21.0,21.0,21.0,21.0,21.0,21.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,16.0,20.0,20.0,0.0,17.0,21.0,21.0,18.0,20.0,18.0,20.0,13.0,15.0,13.0,17.0,13.0,13.0
23.0,28.0,28.0,28.0,28.0,28.0,28.0,24.0,24.0,24.0,24.0,24.0,24.0,26.0,26.0,24.0,25.0,26.0,26.0,17.0,0.0,28.0,28.0,25.0,25.0,25.0,25.0,4.0,24.0,22.0,21.0,4.0,4.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,24.0,21.0,22.0,24.0,24.0,21.0,28.0,0.0,0.0,23.0,26.0,23.0,26.0,26.0,21.0,23.0,25.0,26.0,26.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,24.0,21.0,22.0,24.0,24.0,21.0,28.0,0.0,0.0,23.0,26.0,23.0,26.0,26.0,21.0,23.0,25.0,26.0,26.0
14.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,14.0,14.0,24.0,25.0,14.0,14.0,18.0,25.0,23.0,23.0,0.0,24.0,0.0,24.0,23.0,24.0,26.0,26.0,23.0,23.0
23.0,26.0,26.0,26.0,26.0,26.0,26.0,14.0,14.0,14.0,14.0,14.0,14.0,10.0,10.0,14.0,15.0,10.0,10.0,20.0,25.0,26.0,26.0,24.0,0.0,24.0,0.0,22.0,14.0,22.0,15.0,22.0,22.0
14.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,24.0,14.0,14.0,24.0,25.0,14.0,14.0,18.0,25.0,23.0,23.0,0.0,24.0,0.0,24.0,23.0,24.0,26.0,26.0,23.0,23.0
23.0,26.0,26.0,26.0,26.0,26.0,26.0,14.0,14.0,14.0,14.0,14.0,14.0,10.0,10.0,14.0,15.0,10.0,10.0,20.0,25.0,26.0,26.0,24.0,0.0,24.0,0.0,22.0,14.0,22.0,15.0,22.0,22.0
21.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,22.0,23.0,24.0,24.0,13.0,4.0,26.0,26.0,23.0,22.0,23.0,22.0,0.0,22.0,20.0,19.0,0.0,0.0
21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,1.0,20.0,20.0,15.0,24.0,21.0,21.0,24.0,14.0,24.0,14.0,22.0,0.0,12.0,7.0,22.0,22.0
24.0,23.0,23.0,23.0,23.0,23.0,23.0,12.0,12.0,12.0,12.0,12.0,12.0,26.0,26.0,12.0,13.0,26.0,26.0,13.0,22.0,23.0,23.0,26.0,22.0,26.0,22.0,20.0,12.0,0.0,19.0,20.0,20.0
23.0,25.0,25.0,25.0,25.0,25.0,25.0,7.0,7.0,7.0,7.0,7.0,7.0,20.0,20.0,7.0,8.0,20.0,20.0,17.0,21.0,25.0,25.0,26.0,15.0,26.0,15.0,19.0,7.0,19.0,0.0,19.0,19.0
21.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,22.0,23.0,24.0,24.0,13.0,4.0,26.0,26.0,23.0,22.0,23.0,22.0,0.0,22.0,20.0,19.0,0.0,0.0
21.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,22.0,22.0,22.0,22.0,22.0,24.0,24.0,22.0,23.0,24.0,24.0,13.0,4.0,26.0,26.0,23.0,22.0,23.0,22.0,0.0,22.0,20.0,19.0,0.0,0.0
