Reference,TypeD-4_H1,TypeD-4_H2,TypeD-3_H1,TypeD-3_H2,TypeD-2_H1,TypeD-2_H2,Chubo-1_H1,Chubo-1_H2,Takatsuki-4_H1,Takatsuki-4_H2,Chubo-3_H1,Chubo-3_H2,SRS-2_H1,SRS-2_H2,Chubo-4_H1,Chubo-4_H2,SRS-1_H1,SRS-1_H2,Takatsuki-1_H1,Takatsuki-1_H2,TypeD-1_H1,TypeD-1_H2,SRS-3_H1,SRS-3_H2,SRS-4_H1,SRS-4_H2,Takatsuki-2_H1,Takatsuki-2_H2,Chubo-2_H1,Chubo-2_H2,Takatsuki-3_H1,Takatsuki-3_H2
0.0,0.0,6.0,6.0,6.0,0.0,0.0,18.0,16.0,16.0,19.0,24.0,18.0,0.0,0.0,16.0,18.0,12.0,12.0,19.0,19.0,6.0,0.0,12.0,0.0,12.0,12.0,22.0,18.0,24.0,16.0,20.0,20.0
0.0,0.0,6.0,6.0,6.0,0.0,0.0,18.0,16.0,16.0,19.0,24.0,18.0,0.0,0.0,16.0,18.0,12.0,12.0,19.0,19.0,6.0,0.0,12.0,0.0,12.0,12.0,22.0,18.0,24.0,16.0,20.0,20.0
6.0,6.0,0.0,0.0,0.0,6.0,6.0,17.0,14.0,15.0,18.0,20.0,16.0,6.0,6.0,14.0,17.0,11.0,11.0,18.0,18.0,0.0,6.0,11.0,6.0,11.0,11.0,18.0,15.0,21.0,14.0,18.0,17.0
6.0,6.0,0.0,0.0,0.0,6.0,6.0,17.0,14.0,15.0,18.0,20.0,16.0,6.0,6.0,14.0,17.0,11.0,11.0,18.0,18.0,0.0,6.0,11.0,6.0,11.0,11.0,18.0,15.0,21.0,14.0,18.0,17.0
6.0,6.0,0.0,0.0,0.0,6.0,6.0,17.0,14.0,15.0,18.0,20.0,16.0,6.0,6.0,14.0,17.0,11.0,11.0,18.0,18.0,0.0,6.0,11.0,6.0,11.0,11.0,18.0,15.0,21.0,14.0,18.0,17.0
0.0,0.0,6.0,6.0,6.0,0.0,0.0,18.0,16.0,16.0,19.0,24.0,18.0,0.0,0.0,16.0,18.0,12.0,12.0,19.0,19.0,6.0,0.0,12.0,0.0,12.0,12.0,22.0,18.0,24.0,16.0,20.0,20.0
0.0,0.0,6.0,6.0,6.0,0.0,0.0,18.0,16.0,16.0,19.0,24.0,18.0,0.0,0.0,16.0,18.0,12.0,12.0,19.0,19.0,6.0,0.0,12.0,0.0,12.0,12.0,22.0,18.0,24.0,16.0,20.0,20.0
18.0,18.0,17.0,17.0,17.0,18.0,18.0,0.0,6.0,15.0,18.0,16.0,2.0,18.0,18.0,6.0,0.0,11.0,11.0,18.0,18.0,17.0,18.0,11.0,18.0,11.0,11.0,17.0,13.0,13.0,6.0,16.0,15.0
16.0,16.0,14.0,14.0,14.0,16.0,16.0,6.0,0.0,12.0,15.0,17.0,4.0,16.0,16.0,0.0,6.0,8.0,8.0,15.0,15.0,14.0,16.0,8.0,16.0,8.0,8.0,16.0,13.0,19.0,0.0,15.0,15.0
16.0,16.0,15.0,15.0,15.0,16.0,16.0,15.0,12.0,0.0,3.0,18.0,14.0,16.0,16.0,12.0,15.0,8.0,8.0,3.0,4.0,15.0,16.0,8.0,16.0,8.0,8.0,16.0,15.0,19.0,12.0,12.0,11.0
19.0,19.0,18.0,18.0,18.0,19.0,19.0,18.0,15.0,3.0,0.0,21.0,17.0,19.0,19.0,15.0,18.0,11.0,11.0,0.0,1.0,18.0,19.0,11.0,19.0,11.0,11.0,19.0,18.0,22.0,15.0,15.0,14.0
24.0,24.0,20.0,20.0,20.0,24.0,24.0,16.0,17.0,18.0,21.0,0.0,14.0,24.0,24.0,17.0,16.0,16.0,16.0,21.0,21.0,20.0,24.0,16.0,24.0,16.0,16.0,3.0,12.0,3.0,17.0,9.0,14.0
18.0,18.0,16.0,16.0,16.0,18.0,18.0,2.0,4.0,14.0,17.0,14.0,0.0,18.0,18.0,4.0,2.0,10.0,10.0,17.0,17.0,16.0,18.0,10.0,18.0,10.0,10.0,16.0,11.0,15.0,4.0,15.0,13.0
0.0,0.0,6.0,6.0,6.0,0.0,0.0,18.0,16.0,16.0,19.0,24.0,18.0,0.0,0.0,16.0,18.0,12.0,12.0,19.0,19.0,6.0,0.0,12.0,0.0,12.0,12.0,22.0,18.0,24.0,16.0,20.0,20.0
0.0,0.0,6.0,6.0,6.0,0.0,0.0,18.0,16.0,16.0,19.0,24.0,18.0,0.0,0.0,16.0,18.0,12.0,12.0,19.0,19.0,6.0,0.0,12.0,0.0,12.0,12.0,22.0,18.0,24.0,16.0,20.0,20.0
16.0,16.0,14.0,14.0,14.0,16.0,16.0,6.0,0.0,12.0,15.0,17.0,4.0,16.0,16.0,0.0,6.0,8.0,8.0,15.0,15.0,14.0,16.0,8.0,16.0,8.0,8.0,16.0,13.0,19.0,0.0,15.0,15.0
18.0,18.0,17.0,17.0,17.0,18.0,18.0,0.0,6.0,15.0,18.0,16.0,2.0,18.0,18.0,6.0,0.0,11.0,11.0,18.0,18.0,17.0,18.0,11.0,18.0,11.0,11.0,17.0,13.0,13.0,6.0,16.0,15.0
12.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,8.0,8.0,11.0,16.0,10.0,12.0,12.0,8.0,11.0,0.0,0.0,11.0,12.0,11.0,12.0,0.0,12.0,0.0,0.0,14.0,12.0,17.0,8.0,12.0,14.0
12.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,8.0,8.0,11.0,16.0,10.0,12.0,12.0,8.0,11.0,0.0,0.0,11.0,12.0,11.0,12.0,0.0,12.0,0.0,0.0,14.0,12.0,17.0,8.0,12.0,14.0
19.0,19.0,18.0,18.0,18.0,19.0,19.0,18.0,15.0,3.0,0.0,21.0,17.0,19.0,19.0,15.0,18.0,11.0,11.0,0.0,1.0,18.0,19.0,11.0,19.0,11.0,11.0,19.0,18.0,22.0,15.0,15.0,14.0
19.0,19.0,18.0,18.0,18.0,19.0,19.0,18.0,15.0,4.0,1.0,21.0,17.0,19.0,19.0,15.0,18.0,12.0,12.0,1.0,0.0,18.0,19.0,12.0,19.0,12.0,12.0,19.0,18.0,22.0,15.0,15.0,14.0
6.0,6.0,0.0,0.0,0.0,6.0,6.0,17.0,14.0,15.0,18.0,20.0,16.0,6.0,6.0,14.0,17.0,11.0,11.0,18.0,18.0,0.0,6.0,11.0,6.0,11.0,11.0,18.0,15.0,21.0,14.0,18.0,17.0
0.0,0.0,6.0,6.0,6.0,0.0,0.0,18.0,16.0,16.0,19.0,24.0,18.0,0.0,0.0,16.0,18.0,12.0,12.0,19.0,19.0,6.0,0.0,12.0,0.0,12.0,12.0,22.0,18.0,24.0,16.0,20.0,20.0
12.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,8.0,8.0,11.0,16.0,10.0,12.0,12.0,8.0,11.0,0.0,0.0,11.0,12.0,11.0,12.0,0.0,12.0,0.0,0.0,14.0,12.0,17.0,8.0,12.0,14.0
0.0,0.0,6.0,6.0,6.0,0.0,0.0,18.0,16.0,16.0,19.0,24.0,18.0,0.0,0.0,16.0,18.0,12.0,12.0,19.0,19.0,6.0,0.0,12.0,0.0,12.0,12.0,22.0,18.0,24.0,16.0,20.0,20.0
12.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,8.0,8.0,11.0,16.0,10.0,12.0,12.0,8.0,11.0,0.0,0.0,11.0,12.0,11.0,12.0,0.0,12.0,0.0,0.0,14.0,12.0,17.0,8.0,12.0,14.0
12.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,8.0,8.0,11.0,16.0,10.0,12.0,12.0,8.0,11.0,0.0,0.0,11.0,12.0,11.0,12.0,0.0,12.0,0.0,0.0,14.0,12.0,17.0,8.0,12.0,14.0
22.0,22.0,18.0,18.0,18.0,22.0,22.0,17.0,16.0,16.0,19.0,3.0,16.0,22.0,22.0,16.0,17.0,14.0,14.0,19.0,19.0,18.0,22.0,14.0,22.0,14.0,14.0,0.0,14.0,4.0,16.0,6.0,16.0
18.0,18.0,15.0,15.0,15.0,18.0,18.0,13.0,13.0,15.0,18.0,12.0,11.0,18.0,18.0,13.0,13.0,12.0,12.0,18.0,18.0,15.0,18.0,12.0,18.0,12.0,12.0,14.0,0.0,13.0,13.0,15.0,6.0
24.0,24.0,21.0,21.0,21.0,24.0,24.0,13.0,19.0,19.0,22.0,3.0,15.0,24.0,24.0,19.0,13.0,17.0,17.0,22.0,22.0,21.0,24.0,17.0,24.0,17.0,17.0,4.0,13.0,0.0,19.0,10.0,15.0
16.0,16.0,14.0,14.0,14.0,16.0,16.0,6.0,0.0,12.0,15.0,17.0,4.0,16.0,16.0,0.0,6.0,8.0,8.0,15.0,15.0,14.0,16.0,8.0,16.0,8.0,8.0,16.0,13.0,19.0,0.0,15.0,15.0
20.0,20.0,18.0,18.0,18.0,20.0,20.0,16.0,15.0,12.0,15.0,9.0,15.0,20.0,20.0,15.0,16.0,12.0,12.0,15.0,15.0,18.0,20.0,12.0,20.0,12.0,12.0,6.0,15.0,10.0,15.0,0.0,21.0
20.0,20.0,17.0,17.0,17.0,20.0,20.0,15.0,15.0,11.0,14.0,14.0,13.0,20.0,20.0,15.0,15.0,14.0,14.0,14.0,14.0,17.0,20.0,14.0,20.0,14.0,14.0,16.0,6.0,15.0,15.0,21.0,0.0
