YPER-4_H1,Reference,Takatsuki-4_H1,Takatsuki-2_H1,SRS-1_H1,Tyubo-1_H1
0.0,24.0,19.0,14.0,16.0,19.0
24.0,0.0,17.0,16.0,12.0,16.0
19.0,17.0,0.0,14.0,9.0,14.0
14.0,16.0,14.0,0.0,10.0,13.0
16.0,12.0,9.0,10.0,0.0,9.0
19.0,16.0,14.0,13.0,9.0,0.0
